Interval start,Interval stop,Camera serial number,Counter name,Pedestrians coming in,Pedestrians going out
2022-03-16 00:00:00,2022-03-16 01:00:00,B8A44F0740E5,NORTEBGTA,0,0
2022-03-16 01:00:00,2022-03-16 02:00:00,B8A44F0740E5,NORTEBGTA,0,0
2022-03-16 02:00:00,2022-03-16 03:00:00,B8A44F0740E5,NORTEBGTA,0,0
2022-03-16 03:00:00,2022-03-16 04:00:00,B8A44F0740E5,NORTEBGTA,0,0
2022-03-16 04:00:00,2022-03-16 05:00:00,B8A44F0740E5,NORTEBGTA,0,0
2022-03-16 05:00:00,2022-03-16 06:00:00,B8A44F0740E5,NORTEBGTA,0,0
2022-03-16 06:00:00,2022-03-16 07:00:00,B8A44F0740E5,NORTEBGTA,0,0
2022-03-16 07:00:00,2022-03-16 08:00:00,B8A44F0740E5,NORTEBGTA,1,1
2022-03-16 08:00:00,2022-03-16 09:00:00,B8A44F0740E5,NORTEBGTA,50,32
2022-03-16 09:00:00,2022-03-16 10:00:00,B8A44F0740E5,NORTEBGTA,93,80
2022-03-16 10:00:00,2022-03-16 11:00:00,B8A44F0740E5,NORTEBGTA,97,95
2022-03-16 11:00:00,2022-03-16 12:00:00,B8A44F0740E5,NORTEBGTA,75,62
2022-03-16 12:00:00,2022-03-16 13:00:00,B8A44F0740E5,NORTEBGTA,38,41
2022-03-16 13:00:00,2022-03-16 14:00:00,B8A44F0740E5,NORTEBGTA,71,80
2022-03-16 14:00:00,2022-03-16 15:00:00,B8A44F0740E5,NORTEBGTA,40,29
2022-03-16 15:00:00,2022-03-16 16:00:00,B8A44F0740E5,NORTEBGTA,31,31
2022-03-16 00:00:00,2022-03-16 01:00:00,ACCC8E9AF7A5,AMERICA,0,0
2022-03-16 01:00:00,2022-03-16 02:00:00,ACCC8E9AF7A5,AMERICA,0,0
2022-03-16 02:00:00,2022-03-16 03:00:00,ACCC8E9AF7A5,AMERICA,0,0
2022-03-16 03:00:00,2022-03-16 04:00:00,ACCC8E9AF7A5,AMERICA,0,0
2022-03-16 04:00:00,2022-03-16 05:00:00,ACCC8E9AF7A5,AMERICA,0,0
